location,avg_price,median_price,median_bedrooms,avg_price_per_bedroom,median_price_per_bedroom,affordability_rank,listing_count
"kiserian, nairobi",7500000,7500000,3.0,2500000,2500000,1,2
"ring road kileleshwa nairobi, kileleshwa, nairobi",6385000,7150000,2.0,3192500,3575000,2,8
"syokimau, nairobi",19500000,19500000,6.0,3250000,3250000,3,3
"kitengela, nairobi",10161538,8000000,3.0,3387179,2666667,4,13
"kileleshwa nairobi, kileleshwa, nairobi",6784545,7150000,2.0,3392273,3575000,5,11
"ngong, nairobi",15750000,15750000,4.5,3500000,3500000,6,4
"kasarani, nairobi",7100000,7100000,2.0,3550000,3550000,7,4
"syokimau nairobi, syokimau, nairobi",11500000,11500000,3.0,3833333,3833333,8,1
"kilimani estate kilimani, kilimani, nairobi",7785714,8200000,2.0,3892857,4100000,9,7
"mombasa road nairobi, syokimau, nairobi",8000000,8000000,2.0,4000000,4000000,10,2
"lower kabete, nairobi",4200000,4200000,1.0,4200000,4200000,11,2
"lower kabete, lower kabete, nairobi",4310000,4310000,1.0,4310000,4310000,12,1
"parklands, nairobi",17760000,25000000,4.0,4440000,6250000,13,5
"lower kabete nairobi, lower kabete, nairobi",4720000,4720000,1.0,4720000,4720000,14,1
"kileleshwa, nairobi",14177857,13250000,3.0,4725952,4416667,15,56
"gatundu rd kileleshwa, kileleshwa, nairobi",9483333,9000000,2.0,4741667,4500000,16,6
"kilimani, nairobi",14735000,13000000,3.0,4911667,4333333,17,56
"mlolongo, nairobi",20000000,20000000,4.0,5000000,5000000,18,2
"lang'ata, nairobi",22000000,22000000,4.0,5500000,5500000,19,2
"lavington, nairobi",17120000,13500000,3.0,5706667,4500000,20,35
"kilimani, kilimani, nairobi",6000000,6000000,1.0,6000000,6000000,21,3
"31 othaya rd, kileleshwa, nairobi",24500000,24500000,4.0,6125000,6125000,22,1
"kasarani, sportsview, nairobi",25000000,25000000,4.0,6250000,6250000,23,3
"rhapta terraces rhapta road, westlands, nairobi",13034211,13000000,2.0,6517105,6500000,24,19
"rhapta road nairobi, westlands, nairobi",13205556,13000000,2.0,6602778,6500000,25,18
"jalaram rd spring valley, westlands, nairobi",23250000,23250000,3.5,6642857,6642857,26,4
"westlands, westlands, nairobi",19942941,24610000,3.0,6647647,8203333,27,17
"mogotio rd 23, westlands, nairobi",6800000,6800000,1.0,6800000,6800000,28,11
"riara rd maziwa, kilimani, nairobi",17000000,15300000,2.5,6800000,6120000,29,10
"westlands rd nairobi, westlands, nairobi",7000000,7000000,1.0,7000000,7000000,30,5
"pq2g+qh kilimani, kilimani, nairobi",28000000,28000000,4.0,7000000,7000000,31,2
"ring rd parklands nairobi, westlands, nairobi",14014286,13800000,2.0,7007143,6900000,32,7
"muthithi rd nairobi, westlands, nairobi",14266636,10757000,2.0,7133318,5378500,33,11
"south c, nairobi",29000000,29000000,4.0,7250000,7250000,34,3
"westlands, nairobi",21919231,23000000,3.0,7306410,7666667,35,26
"kirichwa rd kilimani, kilimani, nairobi",15060000,14700000,2.0,7530000,7350000,36,5
"matundu lane spring valley, westlands, nairobi",11350000,11350000,1.5,7566667,7566667,37,2
"mogotio rd, westlands, nairobi",23000000,23000000,3.0,7666667,7666667,38,1
"mogotio rd, westlands, westlands, nairobi",23000000,23000000,3.0,7666667,7666667,39,1
"kiambu road, nairobi",30714286,30000000,4.0,7678571,7500000,40,7
"spring valley nairobi, spring valley, nairobi",23100000,23100000,3.0,7700000,7700000,41,1
"mogotio rd nairobi, westlands, nairobi",11613333,10300000,1.5,7742222,6866667,42,6
"westlands highridge, westlands, nairobi",23766667,24400000,3.0,7922222,8133333,43,3
"riverside dr nairobi, riverside, nairobi",16250000,14600000,2.0,8125000,7300000,44,8
"muthangari dr, westlands, nairobi",24400000,24400000,3.0,8133333,8133333,45,1
"pqqj+m66 muthangari dr, westlands, nairobi",24400000,24400000,3.0,8133333,8133333,46,8
"ongata rongai, nairobi",24960000,38000000,3.0,8320000,12666667,47,5
"kitisuru, nairobi",30000000,30000000,3.5,8571429,8571429,48,4
"zimmerman, mirema, nairobi",35000000,35000000,4.0,8750000,8750000,49,2
"runda kitisuru, runda, nairobi",35000000,35000000,4.0,8750000,8750000,50,1
"njathaini rd ke, kiambu road, nairobi",35000000,35000000,4.0,8750000,8750000,51,3
"njathaini rd ke, runda, nairobi",35000000,35000000,4.0,8750000,8750000,52,1
"kiambu rd kiambu, runda, nairobi",35000000,35000000,4.0,8750000,8750000,53,2
"muthangari dr nairobi, westlands, nairobi",26666667,24600000,3.0,8888889,8200000,54,3
"school ln spring valley, westlands, nairobi",8911333,7749000,1.0,8911333,7749000,55,3
"lavington kileleshwa, lavington, nairobi",30000000,30000000,3.0,10000000,10000000,56,1
"pq4h+8mc elgeyo rd, kilimani, nairobi",42500000,42500000,4.0,10625000,10625000,57,1
"loresho, nairobi",45000000,45000000,4.0,11250000,11250000,58,2
"riverside, nairobi",23433333,27000000,2.0,11716667,13500000,59,6
"kilimani nairobi, kilimani, nairobi",13833333,10500000,1.0,13833333,10500000,60,3
